strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_DA3801AA	IEH-NGS-SAL-01224	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952834	SRS694850	SRP018785	PRJNA186035	11
SAL_DA8981AA	swgs1078	12	2013	United States		"Stool; Homo sapiens"	Human	Human	SAMN02676342	SRS568890	SRP033012	PRJNA227458	11
SAL_AA8727AA	SE1385_06-sc-2013-07-15T10:31:24Z-1661431				THE SANGER CENTER				SAMEA2142557	ERS325078	ERP003509	PRJEB4240	11
SAL_DA3803AA	IEH-NGS-SAL-01222	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952832	SRS694848	SRP018785	PRJNA186035	11
SAL_DA9010AA	MDH-2014-00217	4	2001	United States		"feces; Homo sapiens"	Human	Human	SAMN02646990	SRS569794	SRP040026	PRJNA237212	11
SAL_AA8733AA	SE42_13-sc-2013-07-15T10:31:18Z-1661424				THE SANGER CENTER				SAMEA2157002	ERS325071	ERP003509	PRJEB4240	11
SAL_AA9847AA	UY031-sc-2013-10-08T14:24:18Z-1711478				THE SANGER CENTER				SAMEA2201665	ERS354068	ERP003958	PRJEB4649	11
SAL_BA6181AA	15MN00131	4	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487615	SRS919048	SRP040026	PRJNA237212	11
SAL_EA4011AA	NY59080698	8	2015	United States	None	"Stool/Fecal; Homo sapiens"	Human	Human	SAMN04147775	SRS1101814	SRP033012	PRJNA227458	11
SAL_DA9034AA	MDH-2014-00206	8	2000	United States		"feces; Homo sapiens"	Human	Human	SAMN02646979	SRS569717	SRP040026	PRJNA237212	11
SAL_CA5686AA	71570	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468616	SRS899285	SRP042645	PRJNA248792	11
SAL_FA6421AA	PNUSAS002115			United States	Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch				SAMN04925743	SRS1431797	SRP040281	PRJNA230403	11
SAL_DA4035AA	MDH-2014-00909	8	2014	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03001974	SRS688654	SRP040026	PRJNA237212	11
SAL_BA5675AA	CFSAN032482	5	2006	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	cake	Food	Composite Food	SAMN03492328	SRS922993	SRP057694	PRJNA271293	11
SAL_AA8734AA	SE1347_11-sc-2013-07-15T10:31:17Z-1661422				THE SANGER CENTER				SAMEA2156540	ERS325069	ERP003509	PRJEB4240	11
SAL_BA5012AA	CFSAN024486	11	2009	Mexico	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	ND	Environment	Water	SAMN03464421	SRS909724	SRP029479	PRJNA217342	11
SAL_DA3796AA	IEH-NGS-SAL-01229	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952839	SRS694854	SRP018785	PRJNA186035	11
SAL_AA9826AA	UY041-sc-2013-10-08T14:24:30Z-1711488				THE SANGER CENTER				SAMEA2201675	ERS354078	ERP003958	PRJEB4649	11
