id	latitude	longitude	country	countryshape	countrycolour	region	year	serotype	inferred serotype	ST	inferredST	source	ENA Accession	Isolate Name
7444866	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2002	6B	6C		90	Middle ear	ERR107547	0212+05159
7444867	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2003	6B	6C		90	Middle ear	ERR107548	0301+23540
7444868	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2003	6B	6C		SLV90	Middle ear	ERR107549	0302+20271
7444869	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2003	6B	6C		90	Middle ear	ERR107550	0303+13263
744488	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C		90	Nasopharynx	ERR107489	9607+10105
7444880	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	2004	6B	6C		90	Nasopharynx	ERR107561	0407+30157
7444881	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2004	6B	6C		SLV90	Sputum	ERR107562	0409+02133
7444882	64.3219244	-22.0702847	Iceland	circle	#FFA500	Akranes	2004	6B	6C		90	Nasopharynx	ERR107563	0412+17021
7444883	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	2005	6B	6C		90	Middle ear	ERR107564	0501+31089
7444884	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	2005	6B	6C		90	Middle ear	ERR107565	0502+25231
7444885	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2005	6B	6C		SLV90	Middle ear	ERR107566	0503+03063
7444886	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2005	6B	6C		90	Nasopharynx	ERR107567	0505+04001
7444887	64	-21.2	Iceland	circle	#FFA500	Hveragerdi	2005	6B	6C		90	Nasopharynx	ERR107568	0506+29167
7444888	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2005	6B	6C		90	Nasopharynx	ERR107569	0507+08068
7444889	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2005	6B	6C		SLV90	Nasopharynx	ERR107570	0508+26122
744489	64.083333	-21.9	Iceland	circle	#FFA500	Garoabaer	1996	6	6C		90	Nose	ERR107490	9608+02116
7444890	64.17	-21.72	Iceland	circle	#FFA500	Mosfellsbaer	2005	6B	6C		90	Nasopharynx	ERR107571	0509+09128
7444891	64.001111	-22.551944	Iceland	circle	#FFA500	Reykjanesbaer	2001	6B	6C		90	Nose	ERR107572	0107+17127
CP002176	40.463667	-3.74922	Spain	square	#FF00FF		1988							670-6B 
